departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-29 09:13, 2025-09-29 10:03, 1, taxi, 32, walk, 06
2025-09-29 09:13, 2025-09-29 10:06, 1, taxi, 32, walk, 08
2025-09-29 09:16, 2025-09-29 10:03, 1, taxi, 32, walk, 06
2025-09-29 09:18, 2025-09-29 10:13, 1, taxi, 35, walk, 14
2025-09-29 09:33, 2025-09-29 10:28, 1, taxi, 35, walk, 14
2025-09-29 09:35, 2025-09-29 10:11, 0, taxi, 36, walk, 00
2025-09-29 09:40, 2025-09-29 10:16, 0, taxi, 36, walk, 00
2025-09-29 09:45, 2025-09-29 10:21, 0, taxi, 36, walk, 00
2025-09-29 09:50, 2025-09-29 10:26, 0, taxi, 36, walk, 00
2025-09-29 09:55, 2025-09-29 10:31, 0, taxi, 36, walk, 00
2025-09-29 10:00, 2025-09-29 10:36, 0, taxi, 36, walk, 00
2025-09-29 10:03, 2025-09-29 10:50, 1, walk, 03, taxi, 08
2025-09-29 10:03, 2025-09-29 11:03, 1, walk, 03, walk, 06
2025-09-29 10:05, 2025-09-29 10:41, 0, taxi, 36, walk, 00
2025-09-29 10:10, 2025-09-29 10:46, 0, taxi, 36, walk, 00
2025-09-29 10:13, 2025-09-29 11:03, 1, taxi, 32, walk, 06
2025-09-29 10:13, 2025-09-29 11:06, 1, taxi, 32, walk, 08
2025-09-29 10:15, 2025-09-29 10:51, 0, taxi, 36, walk, 00
2025-09-29 10:16, 2025-09-29 11:03, 1, taxi, 32, walk, 06
2025-09-29 10:18, 2025-09-29 11:13, 1, taxi, 35, walk, 14
2025-09-29 10:20, 2025-09-29 10:56, 0, taxi, 36, walk, 00
2025-09-29 10:25, 2025-09-29 11:01, 0, taxi, 36, walk, 00
2025-09-29 10:30, 2025-09-29 11:06, 0, taxi, 36, walk, 00
2025-09-29 10:35, 2025-09-29 11:11, 0, taxi, 36, walk, 00
2025-09-29 10:37, 2025-09-29 11:25, 1, walk, 03, taxi, 12
2025-09-29 10:37, 2025-09-29 11:33, 1, walk, 03, walk, 06
2025-09-29 10:39, 2025-09-29 11:28, 1, taxi, 35, walk, 08
2025-09-29 10:40, 2025-09-29 11:16, 0, taxi, 36, walk, 00
2025-09-29 10:43, 2025-09-29 11:33, 1, taxi, 32, walk, 06
2025-09-29 10:43, 2025-09-29 11:36, 1, taxi, 32, walk, 08
2025-09-29 10:45, 2025-09-29 11:21, 0, taxi, 36, walk, 00
2025-09-29 10:46, 2025-09-29 11:33, 1, taxi, 32, walk, 06
